"Reference","Value","Datasheet","Footprint","Qty","DNP","JLCPCB Part #"
"C12,C23,C24,C25","10n","~","-- różne wartości --","4","","C57112"
"C1,C2,C3,C6,C8,C9,C10,C11,C18,C26","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","","C49678"
"C15,C16,C21,C22","22u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","","C45783"
"C19,C20","10p","~","Capacitor_SMD:C_0402_1005Metric","2","","C32949"
"C13,C14","1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","C28323"
"R4","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C25741"
"R14","15k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C17475"
"R17,R18","150k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","C17470"
"R19,R20,R21","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","C17414"
"R6","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C17414"
"R8,R9","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","C17408"
"Y1","16MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","C13738"
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","C6186"
"FB1,L1","120R","~","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","2","","C5671"
"R7,R10,R11,R12,R13,R15,R16","1k5","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7","","C4310"
"C17","75p","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1","","C1671"
"FB2","100 @ 100MHz","~","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1","","C1015"
